# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	318772
#@/user_id	data
a 	啊	c=434 d=2.53214 t=318772
a 	阿	c=1 d=2.74084e-09 t=318772
a a a 	啊啊啊	c=2 d=0.960789 t=318772
a a a a 	啊啊啊啊	c=1 d=3.23954e-159 t=318772
a a a a a 	啊啊啊啊啊	c=1 d=2.93301e-159 t=318772
a bao zhi gong 	阿保之功	c=0 d=3.4173e-105 t=318772
a bao zhi gong yi ou 	阿保之功遺鷗	c=1 d=3.43443e-104 t=318772
a bo 	阿伯	c=0 d=2.29568e-160 t=318772
a bu 	阿布	c=0 d=0 t=318772
a bu ou tu 	阿布嘔吐	c=1 d=0 t=318772
a deng 	阿燈	c=1 d=8.56513e-208 t=318772
a die 	阿爹	c=2 d=1.19621 t=318772
a fan da 	阿凡達	c=1 d=0.26054 t=318772
a fu 	阿福	c=5 d=1.56475e-32 t=318772
a gui 	阿龟	c=1 d=0.410656 t=318772
a ha 	啊哈	c=0 d=5.99193e-94 t=318772
a ha ha ha ha 	啊哈哈哈哈	c=1 d=3.70404e-52 t=318772
a ha ha ha ha a ha ha 	啊哈哈哈哈啊哈哈	c=1 d=3.66719e-52 t=318772
a ha ha ha ha ha 	啊哈哈哈哈哈	c=2 d=1.88197e-87 t=318772
a ha ha ha ha ha ha ha ha ha ha 	啊哈哈哈哈哈哈哈哈哈哈	c=2 d=1.8914e-86 t=318772
a ha ha ha ha ha ha ha ha ha ha ha ha ha 	啊哈哈哈哈哈哈哈哈哈哈哈哈哈	c=1 d=5.31713e-246 t=318772
a ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha 	啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈	c=2 d=4.05796e-08 t=318772
a hei hua sha shou sha sha sha hua shi ai jiang han da kang sa ha ke jian duan sha jun kuan du hua shi ai jie kou hua shi ai duan jie ka dao shan jian kai sa dan he ku de shen an ha sa de jing kou da shu ju ku 	啊黑花殺手殺殺殺花是愛江漢大康薩哈可間段殺菌寬度花是愛接口花是愛斷接卡刀扇肩鎧撒旦何苦得身安哈薩德井口大數據庫	c=1 d=7.99552e-75 t=318772
a hong 	阿吽	c=0 d=2.191e-111 t=318772
a hua tian 	阿華田	c=1 d=3.15101e-32 t=318772
a jin sa 	阿金薩	c=0 d=7.99552e-76 t=318772
a la 	阿拉	c=1 d=1.85503e-181 t=318772
a la bo 	阿拉伯	c=4 d=1.06088e-180 t=318772
a la bo shu zi 	阿拉伯數字	c=1 d=1.2537e-248 t=318772
a la bo yu 	阿拉伯語	c=4 d=8.73873e-181 t=318772
a li 	阿里	c=1 d=4.47382e-185 t=318772
a ni tuo fo 	啊擬妥佛	c=1 d=1.23588e-256 t=318772
a niu 	阿牛	c=2 d=1.08344e-31 t=318772
a ri a 	啊日啊	c=1 d=3.54973e-22 t=318772
a sen du ji an kuo san lian jie 	啊森度吉安擴散連接	c=1 d=1.28639e-51 t=318772
a shi san shi san wan suan 	啊是三十三烷酸	c=1 d=5.68886e-100 t=318772
a tu 	阿涂	c=12 d=3.16088e-10 t=318772
a xiu luo 	阿修罗	c=1 d=1.26336e-15 t=318772
a zhe 	阿这	c=2 d=1.74704e-05 t=318772
ai 	唉	c=6 d=3.72602e-05 t=318772
ai 	愛	c=13 d=2.04688e-34 t=318772
ai 	矮	c=2 d=1.83191e-229 t=318772
ai 	艾	c=6 d=1.65644e-143 t=318772
ai bu 	愛不	c=1 d=8.04844e-35 t=318772
ai chi 	愛喫	c=1 d=6.12255e-83 t=318772
ai chi la 	愛喫辣	c=1 d=6.15323e-82 t=318772
ai de kai shi 	愛的開始	c=0 d=1.29284e-52 t=318772
ai ni 	愛你	c=4 d=6.62254e-35 t=318772
ai ping lun 	愛評論	c=1 d=1.84295e-163 t=318772
ai qing 	愛情	c=2 d=1.92161 t=318772
ai ru 	愛如	c=1 d=7.24621e-35 t=318772
ai shang 	哀傷	c=1 d=1.75892e-114 t=318772
ai shang 	愛上	c=1 d=6.33113e-35 t=318772
ai wo 	愛我	c=1 d=7.81057e-35 t=318772
ai wo bie zou 	愛我別走	c=1 d=8.72173e-39 t=318772
